plant_id,avg_temperature,avg_soil_moisture,recording_count,last_watered,date
1,12.931079646270637,86.28234194208149,20,2025-06-04 13:51:41+00:00,2025-06-04
2,14.108597121236448,90.17601911403057,20,2025-06-04 14:58:34+00:00,2025-06-04
3,15.347941225058543,86.73997723030126,21,2025-06-04 13:58:19+00:00,2025-06-04
4,15.620507130604008,90.1474159428141,21,2025-06-04 14:56:07+00:00,2025-06-04
5,15.65375462508733,86.64822799865343,21,2025-06-04 13:57:08+00:00,2025-06-04
6,14.18444703539735,83.35657817104386,21,2025-06-04 13:03:31+00:00,2025-06-04
8,14.629096846932393,85.44763949885235,21,2025-06-04 13:33:20+00:00,2025-06-04
9,11.440426980875674,88.06158444291091,20,2025-06-04 14:19:58+00:00,2025-06-04
10,13.057410472032995,87.85195958510364,20,2025-06-04 14:15:42+00:00,2025-06-04
11,15.002417536055717,85.30794210932999,21,2025-06-04 13:32:16+00:00,2025-06-04
12,14.3136586122598,85.52454039056715,21,2025-06-04 13:34:25+00:00,2025-06-04
13,13.899277549522319,89.45504383371552,21,2025-06-04 14:46:28+00:00,2025-06-04
14,13.951728059607188,85.09877061231332,20,2025-06-04 13:28:35+00:00,2025-06-04
15,15.52296427894661,87.79847340828135,21,2025-06-04 14:17:16+00:00,2025-06-04
16,15.824735900138272,80.50942278911565,21,2025-06-04 14:02:07+00:00,2025-06-04
17,14.80270589807382,84.06791803929734,21,2025-06-04 13:10:19+00:00,2025-06-04
18,12.047400490997497,89.22697381291576,21,2025-06-04 14:39:50+00:00,2025-06-04
19,11.616049965724194,89.21519500614292,21,2025-06-04 14:41:59+00:00,2025-06-04
20,14.577981175344751,87.43957534902438,21,2025-06-04 14:11:20+00:00,2025-06-04
21,12.969631059878472,84.2822616225612,21,2025-06-04 13:12:41+00:00,2025-06-04
22,13.816953676192519,83.3187874837228,21,2025-06-04 13:02:31+00:00,2025-06-04
23,13.415005297075925,83.70611444824485,21,2025-06-04 13:02:45+00:00,2025-06-04
24,13.469952085542479,89.68964847071382,20,2025-06-04 14:47:33+00:00,2025-06-04
25,14.716795063117369,88.92282364996039,21,2025-06-04 14:35:22+00:00,2025-06-04
26,13.738015015879892,87.40658551183228,20,2025-06-04 14:10:30+00:00,2025-06-04
27,12.891365012753354,88.81461099929078,21,2025-06-04 14:33:40+00:00,2025-06-04
28,14.725408202882742,86.46696159152215,20,2025-06-04 13:51:21+00:00,2025-06-04
29,16.15983579186918,86.35908562059234,21,2025-06-04 13:49:02+00:00,2025-06-04
30,13.881657090611354,85.43088506485094,19,2025-06-04 13:33:30+00:00,2025-06-04
31,15.916754571967916,87.62093677541073,21,2025-06-04 14:14:04+00:00,2025-06-04
32,19.247417874972548,85.7765102254931,21,2025-06-04 13:40:10+00:00,2025-06-04
33,15.000462474591524,84.45122862562278,21,2025-06-04 13:15:17+00:00,2025-06-04
34,12.933106471474135,87.86891387410598,21,2025-06-04 14:18:52+00:00,2025-06-04
35,15.483595389399905,90.1245708245113,21,2025-06-04 14:55:08+00:00,2025-06-04
36,12.060798134750636,86.3671108978677,21,2025-06-04 13:52:51+00:00,2025-06-04
37,16.22849633444641,87.59822650259116,20,2025-06-04 14:12:01+00:00,2025-06-04
38,14.555516382548056,84.58507373454248,21,2025-06-04 13:19:28+00:00,2025-06-04
39,16.5717852472866,85.21950043561861,21,2025-06-04 13:29:36+00:00,2025-06-04
40,15.794222456877373,90.07301045834429,19,2025-06-04 14:58:06+00:00,2025-06-04
41,19.278088354369647,88.52308259242443,21,2025-06-04 14:30:02+00:00,2025-06-04
42,12.433930940896001,89.048580190847,21,2025-06-04 14:38:45+00:00,2025-06-04
44,14.36516518205805,87.94046895332414,20,2025-06-04 14:20:23+00:00,2025-06-04
45,15.947301467464786,85.24950505668512,21,2025-06-04 13:32:05+00:00,2025-06-04
46,16.00258811732241,83.80838517722327,20,2025-06-04 13:08:03+00:00,2025-06-04
47,11.414461448432798,84.65582692857143,20,2025-06-04 14:50:57+00:00,2025-06-04
48,18.423566451122948,87.32587166759954,21,2025-06-04 14:09:29+00:00,2025-06-04
49,16.077036842737826,87.38921035006499,20,2025-06-04 14:08:03+00:00,2025-06-04
50,14.189398105373403,88.54506542137456,21,2025-06-04 14:30:25+00:00,2025-06-04
